"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009651","GO:0009651","response to salt stress","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"AQP1/ZFP36L1/FBP1",3
"GO:0030277","GO:0030277","maintenance of gastrointestinal epithelium","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"MUC4/SOX9/TFF1",3
"GO:0034138","GO:0034138","toll-like receptor 3 signaling pathway","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"TICAM1/WDFY1/IKBKB",3
"GO:0034260","GO:0034260","negative regulation of GTPase activity","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"DAB2IP/CPEB2/LRCH1",3
"GO:0035162","GO:0035162","embryonic hemopoiesis","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"GATA3/PBX1/TGFBR2",3
"GO:0040037","GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"GATA3/CREB3L1/SPRY1",3
"GO:0044090","GO:0044090","positive regulation of vacuole organization","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"SNX7/ANXA2/RALB",3
"GO:0045736","GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"HEXIM1/CDKN1C/LATS2",3
"GO:0060907","GO:0060907","positive regulation of macrophage cytokine production","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"TICAM1/PYCARD/CD74",3
"GO:0061099","GO:0061099","negative regulation of protein tyrosine kinase activity","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"GPRC5A/ERRFI1/SH3BP5",3
"GO:0061484","GO:0061484","hematopoietic stem cell homeostasis","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"EMCN/ADGRG1/ARMCX1",3
"GO:0071549","GO:0071549","cellular response to dexamethasone stimulus","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"ASS1/AQP1/FBXO32",3
"GO:0072273","GO:0072273","metanephric nephron morphogenesis","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"SOX9/LGR4/HES1",3
"GO:1903902","GO:1903902","positive regulation of viral life cycle","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"TRIM38/CD74/HLA-DRB1",3
"GO:1904030","GO:1904030","negative regulation of cyclin-dependent protein kinase activity","3/842","24/18870",0.0894217629753999,0.261783231906864,0.200828256429972,"HEXIM1/CDKN1C/LATS2",3
"GO:0045089","GO:0045089","positive regulation of innate immune response","21/842","343/18870",0.0894820327311733,0.261810237237985,0.200848973698697,"LTF/S100A14/DAB2IP/PTPRS/RBM47/LGR4/FOSL1/TICAM1/PYCARD/CD40/TRIM56/PLSCR1/HEXIM1/TIFA/BCL10/TSPAN6/WDFY1/IKBKB/AP1G1/GBP2/IRF1",21
"GO:0010639","GO:0010639","negative regulation of organelle organization","22/842","363/18870",0.0908598622589871,0.265689984906696,0.203825340649399,"MET/TACSTD2/ATXN7/GPX1/YAP1/MID1/SSH3/ADD3/LIMA1/CLU/KANK1/RAD50/F11R/MKKS/LIMK2/FEZ2/PRKCD/SWAP70/TRIOBP/RPS6KA2/TJP1/IER3",22
"GO:0030510","GO:0030510","regulation of BMP signaling pathway","9/842","121/18870",0.0917843930005931,0.267204410943977,0.204987139815617,"DKK1/CRIM1/SORL1/NOTCH2/ITGA3/SFRP1/HES1/TOB1/TWSG1",9
"GO:0051100","GO:0051100","negative regulation of binding","9/842","121/18870",0.0917843930005931,0.267204410943977,0.204987139815617,"SLPI/DKK1/SORL1/PER2/PTPRF/MDFI/PRKCD/SP100/RALB",9
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","9/842","121/18870",0.0917843930005931,0.267204410943977,0.204987139815617,"LTF/CXCL6/GPX1/CAV2/APOL1/ZC3H12A/TMEM41B/SP1/STOM",9
"GO:0019731","GO:0019731","antibacterial humoral response","6/842","70/18870",0.0917905970181292,0.267204410943977,0.204987139815617,"LTF/DEFB1/PI3/SLPI/WFDC2/IGHA1",6
"GO:0030514","GO:0030514","negative regulation of BMP signaling pathway","6/842","70/18870",0.0917905970181292,0.267204410943977,0.204987139815617,"DKK1/CRIM1/SORL1/SFRP1/TOB1/TWSG1",6
"GO:0061371","GO:0061371","determination of heart left/right asymmetry","6/842","70/18870",0.0917905970181292,0.267204410943977,0.204987139815617,"IFT172/SMAD3/TGFBR2/NOTCH2/MKKS/NPHP3",6
"GO:1901880","GO:1901880","negative regulation of protein depolymerization","6/842","70/18870",0.0917905970181292,0.267204410943977,0.204987139815617,"ATXN7/MID1/ADD3/LIMA1/SWAP70/TRIOBP",6
"GO:0006486","GO:0006486","protein glycosylation","13/842","193/18870",0.0918466321883858,0.267204410943977,0.204987139815617,"ST6GAL1/ENTPD5/COG3/B3GALNT1/SLC39A8/SLC35C1/B3GNT5/CHP1/B4GALT1/SRD5A3/GALNT3/DPY19L4/GALNT10",13
"GO:0043413","GO:0043413","macromolecule glycosylation","13/842","193/18870",0.0918466321883858,0.267204410943977,0.204987139815617,"ST6GAL1/ENTPD5/COG3/B3GALNT1/SLC39A8/SLC35C1/B3GNT5/CHP1/B4GALT1/SRD5A3/GALNT3/DPY19L4/GALNT10",13
"GO:0010883","GO:0010883","regulation of lipid storage","5/842","54/18870",0.092152552577361,0.267942427533608,0.205553312766545,"PLIN5/C3/PPARA/ZC3H12A/PNPLA2",5
"GO:0014896","GO:0014896","muscle hypertrophy","8/842","104/18870",0.0932372661175795,0.270636071260365,0.207619754414269,"EDN1/LMCD1/SMAD3/SORBS2/IL6ST/FOXO1/PPARA/CAMK2D",8
"GO:0032642","GO:0032642","regulation of chemokine production","8/842","104/18870",0.0932372661175795,0.270636071260365,0.207619754414269,"CXCL6/EPHA2/ACKR1/SNAI2/KLF4/TICAM1/PYCARD/CD74",8
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor","8/842","104/18870",0.0932372661175795,0.270636071260365,0.207619754414269,"KLF5/RARG/KLF4/SYNGR1/ICAM1/SOCS3/SHMT1/PIGA",8
"GO:0032088","GO:0032088","negative regulation of NF-kappaB transcription factor activity","7/842","87/18870",0.0935049988263412,0.271106353295819,0.207980533523468,"DAB2IP/KLF4/PYCARD/BCL3/CHP1/ZC3H12A/ANXA4",7
"GO:1901292","GO:1901292","nucleoside phosphate catabolic process","7/842","87/18870",0.0935049988263412,0.271106353295819,0.207980533523468,"PDE8B/NT5E/ENTPD5/SUCLG2/NT5C2/NUDT4/NUDT15",7
"GO:0043550","GO:0043550","regulation of lipid kinase activity","4/842","39/18870",0.094599396472297,0.273815070263212,0.210058538679723,"IRS1/FLT1/RBL2/PPP2R5A",4
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","4/842","39/18870",0.094599396472297,0.273815070263212,0.210058538679723,"MUC1/CREB3L1/RGS14/EPAS1",4
"GO:0070229","GO:0070229","negative regulation of lymphocyte apoptotic process","4/842","39/18870",0.094599396472297,0.273815070263212,0.210058538679723,"EFNA1/BCL3/CD74/BCL10",4
"GO:0007548","GO:0007548","sex differentiation","18/842","288/18870",0.0948981962803954,0.274525013379666,0.210603174931646,"SOX15/GATA3/TNFSF10/TFAP2C/PBX1/DHCR24/SOX9/LGR4/INSR/ADGRG1/TGFB2/MKKS/ATN1/YBX3/SDC1/SFRP1/PLEKHA1/BMPR1A",18
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","11/842","158/18870",0.0963263762980482,0.274980491834802,0.210952597403513,"ADGRF1/ADGRG6/RAMP3/ADGRL4/ADM/LGR4/CALCRL/ADGRG1/RAMP2/ADGRL2/ARRDC3",11
"GO:0010976","GO:0010976","positive regulation of neuron projection development","11/842","158/18870",0.0963263762980482,0.274980491834802,0.210952597403513,"CX3CL1/ITGA6/DAB2IP/NPTN/DDR1/S100A9/PLXNB2/ITGA3/PRKCI/ENC1/EEF2K",11
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","6/842","71/18870",0.0966984880077942,0.274980491834802,0.210952597403513,"PYCARD/CD74/HLA-DRA/HLA-DMA/HLA-DRB1/IKBKB",6
"GO:0060420","GO:0060420","regulation of heart growth","6/842","71/18870",0.0966984880077942,0.274980491834802,0.210952597403513,"FGFR2/EDN1/YAP1/TGFBR3/PPARA/BMPR1A",6
"GO:1900076","GO:1900076","regulation of cellular response to insulin stimulus","6/842","71/18870",0.0966984880077942,0.274980491834802,0.210952597403513,"SORL1/IRS1/KANK1/GRB10/PRKCD/SOCS3",6
"GO:1903317","GO:1903317","regulation of protein maturation","6/842","71/18870",0.0966984880077942,0.274980491834802,0.210952597403513,"CLN3/PLAU/ANXA2/PLAT/RPS6KA2/TMEM98",6
"GO:0046879","GO:0046879","hormone secretion","19/842","308/18870",0.0968707238396375,0.274980491834802,0.210952597403513,"FAM3D/EDN1/EFNA5/PDE8B/GATA3/PER2/IRS1/AQP1/FAM3B/TCF7L2/GJA1/LRP5/TM7SF3/FOXO1/VAMP8/RAB11FIP1/SFRP1/CRY1/HLA-DRB1",19
"GO:0032602","GO:0032602","chemokine production","8/842","105/18870",0.097214933029171,0.274980491834802,0.210952597403513,"CXCL6/EPHA2/ACKR1/SNAI2/KLF4/TICAM1/PYCARD/CD74",8
"GO:0042472","GO:0042472","inner ear morphogenesis","8/842","105/18870",0.097214933029171,0.274980491834802,0.210952597403513,"FGFR2/GATA3/SOX9/ALDH1A3/TFAP2A/SLC44A4/FZD6/TRIOBP",8
"GO:0043255","GO:0043255","regulation of carbohydrate biosynthetic process","8/842","105/18870",0.097214933029171,0.274980491834802,0.210952597403513,"LEPR/IRS1/TCF7L2/INSR/FOXO1/PPARA/FBP1/CRY1",8
"GO:0046883","GO:0046883","regulation of hormone secretion","16/842","251/18870",0.0972402941140036,0.274980491834802,0.210952597403513,"FAM3D/EDN1/EFNA5/PDE8B/PER2/IRS1/TCF7L2/GJA1/LRP5/TM7SF3/FOXO1/VAMP8/RAB11FIP1/SFRP1/CRY1/HLA-DRB1",16
"GO:0002424","GO:0002424","T cell mediated immune response to tumor cell","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"AHR/HLA-DRB1",2
"GO:0003306","GO:0003306","Wnt signaling pathway involved in heart development","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"DKK1/BMP2",2
"GO:0005984","GO:0005984","disaccharide metabolic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"B4GALT1/FBP1",2
"GO:0006068","GO:0006068","ethanol catabolic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"ALDH3B2/ALDH2",2
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"NT5E/ENTPD5",2
"GO:0015015","GO:0015015","heparan sulfate proteoglycan biosynthetic process, enzymatic modification","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"HS2ST1/NDST1",2
"GO:0015791","GO:0015791","polyol transmembrane transport","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"AQP3/AQP1",2
"GO:0016554","GO:0016554","cytidine to uridine editing","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"RBM47/APOBEC3C",2
"GO:0021670","GO:0021670","lateral ventricle development","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"AQP1/CDK6",2
"GO:0031293","GO:0031293","membrane protein intracellular domain proteolysis","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"MMP7/ADAM9",2
"GO:0033083","GO:0033083","regulation of immature T cell proliferation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"ERBB2/BMI1",2
"GO:0033084","GO:0033084","regulation of immature T cell proliferation in thymus","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"ERBB2/BMI1",2
"GO:0034342","GO:0034342","response to type III interferon","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"IL10RB/IFNGR1",2
"GO:0034650","GO:0034650","cortisol metabolic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"BMP2/H6PD",2
"GO:0035881","GO:0035881","amacrine cell differentiation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"TGIF2/HES1",2
"GO:0036295","GO:0036295","cellular response to increased oxygen levels","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"FOXO1/FAS",2
"GO:0042487","GO:0042487","regulation of odontogenesis of dentin-containing tooth","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"BMP2/RUNX2",2
"GO:0042754","GO:0042754","negative regulation of circadian rhythm","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"PER2/CRY1",2
"GO:0043380","GO:0043380","regulation of memory T cell differentiation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"HLA-DRA/HLA-DRB1",2
"GO:0043476","GO:0043476","pigment accumulation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"SHROOM3/AP1G1",2
"GO:0043482","GO:0043482","cellular pigment accumulation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"SHROOM3/AP1G1",2
"GO:0048548","GO:0048548","regulation of pinocytosis","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"PROM2/CLN3",2
"GO:0051549","GO:0051549","positive regulation of keratinocyte migration","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"ADAM9/HBEGF",2
"GO:0051798","GO:0051798","positive regulation of hair follicle development","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"KRT17/TGFB2",2
"GO:0060442","GO:0060442","branching involved in prostate gland morphogenesis","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"FGFR2/SFRP1",2
"GO:0060707","GO:0060707","trophoblast giant cell differentiation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"SOX15/MDFI",2
"GO:0071389","GO:0071389","cellular response to mineralocorticoid stimulus","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"EDN1/SCNN1A",2
"GO:0072070","GO:0072070","loop of Henle development","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"AQP1/IRX3",2
"GO:0072310","GO:0072310","glomerular epithelial cell development","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"NOTCH2/PODXL",2
"GO:0072488","GO:0072488","ammonium transmembrane transport","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"AQP1/SLC12A2",2
"GO:0090160","GO:0090160","Golgi to lysosome transport","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"CLN3/AP1G1",2
"GO:0090178","GO:0090178","regulation of establishment of planar polarity involved in neural tube closure","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"SFRP1/NPHP3",2
"GO:0097384","GO:0097384","cellular lipid biosynthetic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"LPCAT2/CHPT1",2
"GO:1901503","GO:1901503","ether biosynthetic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"LPCAT2/CHPT1",2
"GO:1904338","GO:1904338","regulation of dopaminergic neuron differentiation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"DKK1/SFRP1",2
"GO:2000303","GO:2000303","regulation of ceramide biosynthetic process","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"PRKCD/SAMD8",2
"GO:2000320","GO:2000320","negative regulation of T-helper 17 cell differentiation","2/842","12/18870",0.0976290652429662,0.274980491834802,0.210952597403513,"ASCL2/ZC3H12A",2
"GO:0032147","GO:0032147","activation of protein kinase activity","7/842","88/18870",0.0979054267760946,0.275337160312821,0.211226217329597,"TNFSF15/TGFBR2/TNFRSF10B/INSR/TGFB2/PRKCD/GAS6",7
"GO:0008211","GO:0008211","glucocorticoid metabolic process","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"BMP2/H6PD/ATP1A1",3
"GO:0010561","GO:0010561","negative regulation of glycoprotein biosynthetic process","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"BACE2/SLC2A10/HBEGF",3
"GO:0030859","GO:0030859","polarized epithelial cell differentiation","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"YAP1/DLG5/ZDHHC7",3
"GO:0032331","GO:0032331","negative regulation of chondrocyte differentiation","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"RARG/SOX9/SNAI2",3
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"PER2/CRY1/FBXL3",3
"GO:0046697","GO:0046697","decidualization","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"STC1/CTSB/PTGS2",3
"GO:0050860","GO:0050860","negative regulation of T cell receptor signaling pathway","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"CEACAM1/GBP1/LGALS3",3
"GO:0090023","GO:0090023","positive regulation of neutrophil chemotaxis","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"EDN1/CXCL8/CD74",3
"GO:0090200","GO:0090200","positive regulation of release of cytochrome c from mitochondria","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"TNFSF10/BBC3/PYCARD",3
"GO:0099633","GO:0099633","protein localization to postsynaptic specialization membrane","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"ERBB2/ADAM10/IQSEC2",3
"GO:0099645","GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane","3/842","25/18870",0.0983998859140966,0.275337160312821,0.211226217329597,"ERBB2/ADAM10/IQSEC2",3
"GO:0071482","GO:0071482","cellular response to light stimulus","9/842","123/18870",0.0991058333800757,0.277161297386264,0.212625612796145,"PTPRK/MME/AQP1/MAPK13/PRKCD/CRY1/DDB2/MYC/NMT2",9
"GO:0035966","GO:0035966","response to topologically incorrect protein","11/842","159/18870",0.0995634153290956,0.278289240993423,0.213490920120556,"CREB3L1/AGR2/ERMP1/ERP27/CCND1/DAB2IP/HSPB8/CLU/TM7SF3/AMFR/TRAM1",11
"GO:0002443","GO:0002443","leukocyte mediated immunity","27/842","466/18870",0.10057159089886,0.280954079368328,0.215535263605055,"ANXA3/CXCL6/SUSD4/CEACAM1/GATA3/CLCF1/C1RL/IGHA1/CTSH/CLU/TICAM1/AHR/STAT6/CD40/BCL3/S100A13/C3/PRKCD/ICAM1/SWAP70/VAMP8/CD74/BCL10/HLA-DRA/PTGDS/HLA-DRB1/AP1G1",27
"GO:0030900","GO:0030900","forebrain development","24/842","407/18870",0.100857391802466,0.281445899104922,0.215912565464531,"ANXA3/FGFR2/DKK1/EGFR/BMP2/PITX1/DAB2IP/PTPRS/CDH1/NFIB/AQP1/TACC2/ROBO1/ALDH1A3/ADGRG1/MKKS/CDK6/ZSWIM6/HES1/SLC2A1/SYNE2/BMPR1A/NDST1/TWSG1",24
"GO:0045786","GO:0045786","negative regulation of cell cycle","24/842","407/18870",0.100857391802466,0.281445899104922,0.215912565464531,"MUC1/GATA3/PTPRK/BMP2/CCND1/DAB2IP/NUPR2/ZFP36L1/PLK2/KLF4/CCL2/RAD50/WEE1/RGCC/RBL2/HEXIM1/CDK6/BTG3/RPS6KA2/CRY1/CDKN1C/LATS2/PTGS2/IER3",24
"GO:0006641","GO:0006641","triglyceride metabolic process","8/842","106/18870",0.1012873062958,0.282338366299543,0.216597225934612,"GPX1/SORL1/PLIN5/GK5/LDLR/SLC27A1/C3/PNPLA2",8
"GO:1990823","GO:1990823","response to leukemia inhibitory factor","8/842","106/18870",0.1012873062958,0.282338366299543,0.216597225934612,"KLF5/RARG/KLF4/SYNGR1/ICAM1/SOCS3/SHMT1/PIGA",8
"GO:0033028","GO:0033028","myeloid cell apoptotic process","4/842","40/18870",0.101598806111845,0.282899172935749,0.217027451423553,"ST6GAL1/SNAI2/GAS6/PIK3CB",4
"GO:0070884","GO:0070884","regulation of calcineurin-NFAT signaling cascade","4/842","40/18870",0.101598806111845,0.282899172935749,0.217027451423553,"FHL2/ERBB3/LMCD1/CHP1",4
"GO:0043954","GO:0043954","cellular component maintenance","6/842","72/18870",0.101743398242512,0.282994517128981,0.21710059517668,"CLDN1/INSR/ITGA3/TANC1/CTTN/TJP1",6
"GO:0050766","GO:0050766","positive regulation of phagocytosis","6/842","72/18870",0.101743398242512,0.282994517128981,0.21710059517668,"ITGA2/CCL2/PYCARD/CD47/C3/GAS6",6
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","12/842","178/18870",0.101855760243919,0.283153492840684,0.217222554153057,"PDE8B/NT5E/ENTPD5/GPD1L/FBXO2/SUCLG2/NT5C2/PRKCD/APOBEC3C/FUCA1/NUDT4/NUDT15",12
"GO:0009895","GO:0009895","negative regulation of catabolic process","21/842","349/18870",0.102130147232574,0.283762472998847,0.217689736189406,"MET/EGFR/LEPR/DAB2IP/SORL1/SMAD3/RBM47/ANXA2/PLIN5/FEZ2/YBX3/USP25/PPARA/FBP1/ALAD/QSOX1/ZDHHC7/TAB2/TOB1/IER3/RILP",21
"GO:0002088","GO:0002088","lens development in camera-type eye","7/842","89/18870",0.10241789088707,0.284253983960921,0.218066801171034,"EPHA2/GATA3/SMAD3/TGFBR2/SPRY1/SPRED2/CDKN1C",7
"GO:0014910","GO:0014910","regulation of smooth muscle cell migration","7/842","89/18870",0.10241789088707,0.284253983960921,0.218066801171034,"ITGA2/IGFBP3/DOCK5/SORL1/PLAU/S100A11/BMPR1A",7
"GO:0002761","GO:0002761","regulation of myeloid leukocyte differentiation","9/842","124/18870",0.102889090383458,0.285407325352492,0.218951592527037,"LTF/CEACAM1/ZFP36L1/NOTCH2/CDK6/SFRP1/CD74/HLA-DRB1/MYC",9
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","22/842","369/18870",0.103259443668537,0.286279830581581,0.219620939079938,"LTF/S100A14/DAB2IP/PTPRS/RBM47/LGR4/FOSL1/TICAM1/PYCARD/CD40/TRIM56/PLSCR1/HEXIM1/TIFA/BCL10/TSPAN6/HLA-DRB1/WDFY1/IKBKB/AP1G1/GBP2/IRF1",22
"GO:0007632","GO:0007632","visual behavior","5/842","56/18870",0.103730057063578,0.287274007926075,0.220383626977182,"PDE8B/MEIS2/PPP1R1B/RGS14/TANC1",5
"GO:0060986","GO:0060986","endocrine hormone secretion","5/842","56/18870",0.103730057063578,0.287274007926075,0.220383626977182,"GATA3/AQP1/GJA1/RAB11FIP1/CRY1",5
"GO:0002698","GO:0002698","negative regulation of immune effector process","9/842","125/18870",0.106753554275984,0.293892358716485,0.225460926390129,"SUSD4/CEACAM1/TGFB2/AHR/LGALS3/ASCL2/CD47/ZC3H12A/CD59",9
"GO:0006690","GO:0006690","icosanoid metabolic process","9/842","125/18870",0.106753554275984,0.293892358716485,0.225460926390129,"EDN1/GPX1/PTGES/PYCARD/GGT7/CD74/PTGDS/PTGS2/CES2",9
"GO:0008286","GO:0008286","insulin receptor signaling pathway","9/842","125/18870",0.106753554275984,0.293892358716485,0.225460926390129,"SORL1/IRS1/CAV2/KANK1/INSR/GRB10/FOXO1/PRKCD/SOCS3",9
"GO:0007589","GO:0007589","body fluid secretion","7/842","90/18870",0.107041430957537,0.293892358716485,0.225460926390129,"EDN1/AGR2/CCND1/KCNN4/AQP1/DDR1/VAMP8",7
"GO:0010657","GO:0010657","muscle cell apoptotic process","7/842","90/18870",0.107041430957537,0.293892358716485,0.225460926390129,"EDN1/LYPD3/MAP3K5/SOD2/ZC3H12A/RPS6KA2/CAMK2D",7
"GO:0034644","GO:0034644","cellular response to UV","7/842","90/18870",0.107041430957537,0.293892358716485,0.225460926390129,"PTPRK/MME/AQP1/MAPK13/PRKCD/DDB2/MYC",7
"GO:0051262","GO:0051262","protein tetramerization","7/842","90/18870",0.107041430957537,0.293892358716485,0.225460926390129,"ALDOA/CRTC2/ALDH1A3/CRYZ/SOD2/SHMT1/HLA-DRB1",7
"GO:0030099","GO:0030099","myeloid cell differentiation","25/842","430/18870",0.107556335445555,0.293892358716485,0.225460926390129,"LTF/ITGB6/EPHA2/CEACAM1/ITGB8/MEIS2/GATA3/BMP2/RARG/ANXA2/ZFP36L1/TGFBR2/NOTCH2/MB/TGFBR3/EPAS1/CDK6/SFRP1/CD74/PIR/MT1G/CDKN1C/HLA-DRB1/ABI1/MYC",25
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","16/842","255/18870",0.107657824844283,0.293892358716485,0.225460926390129,"LTF/S100A14/DAB2IP/PTPRS/LGR4/FOSL1/TICAM1/PYCARD/CD40/TIFA/BCL10/TSPAN6/WDFY1/IKBKB/GBP2/IRF1",16
"GO:0002026","GO:0002026","regulation of the force of heart contraction","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"ADM/ATP1A1/CAMK2D",3
"GO:0002433","GO:0002433","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"CD47/PRKCD/YES1",3
"GO:0014829","GO:0014829","vascular associated smooth muscle contraction","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"EDN1/DOCK5/MKKS",3
"GO:0031579","GO:0031579","membrane raft organization","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"CLN3/ANXA2/CAV2",3
"GO:0031954","GO:0031954","positive regulation of protein autophosphorylation","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"RAD50/RAP2B/TNKS1BP1",3
"GO:0032816","GO:0032816","positive regulation of natural killer cell activation","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"TICAM1/GAS6/AP1G1",3
"GO:0032967","GO:0032967","positive regulation of collagen biosynthetic process","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"ITGA2/CREB3L1/RGCC",3
"GO:0033622","GO:0033622","integrin activation","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"FERMT1/CX3CL1/PIEZO1",3
"GO:0038096","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"CD47/PRKCD/YES1",3
"GO:0042537","GO:0042537","benzene-containing compound metabolic process","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"CYP4B1/EPHX2/GSTM4",3
"GO:0043931","GO:0043931","ossification involved in bone maturation","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"LTF/BMP2/PLXNB1",3
"GO:0048596","GO:0048596","embryonic camera-type eye morphogenesis","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"IFT172/ALDH1A3/TFAP2A",3
"GO:0051894","GO:0051894","positive regulation of focal adhesion assembly","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"SDC4/SMAD3/SFRP1",3
"GO:0060333","GO:0060333","type II interferon-mediated signaling pathway","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"IFNGR1/SP100/IRF1",3
"GO:0097186","GO:0097186","amelogenesis","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"ITGB6/PERP/PPARA",3
"GO:0098719","GO:0098719","sodium ion import across plasma membrane","3/842","26/18870",0.107724241448039,0.293892358716485,0.225460926390129,"SCNN1A/SLC9A7/SLC12A2",3
