"CpG","sample_id","Beta_value"
"cg00031256","TCGA-YL-A9WK-01",0.4472
"cg00031256","TCGA-YL-A9WL-01",0.8813
"cg00031256","TCGA-YL-A9WX-01",0.3244
"cg00031256","TCGA-YL-A9WY-01",0.392
"cg00031256","TCGA-ZG-A8QW-01",0.4024
"cg00031256","TCGA-ZG-A8QX-01",0.4523
"cg00031256","TCGA-ZG-A8QY-01",0.4719
"cg00031256","TCGA-ZG-A8QZ-01",0.3707
"cg00031256","TCGA-ZG-A9KY-01",0.5558
"cg00031256","TCGA-ZG-A9L0-01",0.5935
"cg00031256","TCGA-ZG-A9L1-01",0.6766
"cg00031256","TCGA-ZG-A9L2-01",0.3393
"cg00031256","TCGA-ZG-A9L4-01",0.4083
"cg00031256","TCGA-ZG-A9L5-01",0.7095
"cg00031256","TCGA-ZG-A9L6-01",0.6034
"cg00031256","TCGA-ZG-A9L9-01",0.3154
"cg00031256","TCGA-ZG-A9LB-01",0.5254
"cg00031256","TCGA-ZG-A9LM-01",0.5479
"cg00031256","TCGA-ZG-A9LN-01",0.2731
"cg00031256","TCGA-ZG-A9LS-01",0.421
"cg00031256","TCGA-ZG-A9LU-01",0.29
"cg00031256","TCGA-ZG-A9LY-01",0.4195
"cg00031256","TCGA-ZG-A9LZ-01",0.6098
"cg00031256","TCGA-ZG-A9M4-01",0.5355
"cg00031256","TCGA-ZG-A9MC-01",0.3545
"cg00031256","TCGA-ZG-A9N3-01",0.2301
"cg00031256","TCGA-ZG-A9ND-01",0.6437
"cg00031256","TCGA-ZG-A9NI-01",0.6012
"cg06148264","TCGA-2A-A8VL-01",0.5485
"cg06148264","TCGA-2A-A8VO-01",0.7519
"cg06148264","TCGA-2A-A8VT-01",0.6865
"cg06148264","TCGA-2A-A8VV-01",0.7541
"cg06148264","TCGA-2A-A8VX-01",0.7904
"cg06148264","TCGA-2A-A8W1-01",0.793
"cg06148264","TCGA-2A-A8W3-01",0.5782
"cg06148264","TCGA-2A-AAYF-01",0.7195
"cg06148264","TCGA-2A-AAYO-01",0.6293
"cg06148264","TCGA-2A-AAYU-01",0.6545
"cg06148264","TCGA-4L-AA1F-01",0.4111
"cg06148264","TCGA-CH-5737-01",0.7362
"cg06148264","TCGA-CH-5738-01",0.5056
"cg06148264","TCGA-CH-5739-01",0.6725
"cg06148264","TCGA-CH-5740-01",0.6629
"cg06148264","TCGA-CH-5741-01",0.7728
"cg06148264","TCGA-CH-5743-01",0.2991
"cg06148264","TCGA-CH-5744-01",0.5659
"cg06148264","TCGA-CH-5745-01",0.5687
"cg06148264","TCGA-CH-5746-01",0.5306
"cg06148264","TCGA-CH-5748-01",0.6125
"cg06148264","TCGA-CH-5750-01",0.6481
"cg06148264","TCGA-CH-5751-01",0.4366
"cg06148264","TCGA-CH-5752-01",0.7161
"cg06148264","TCGA-CH-5753-01",0.7069
"cg06148264","TCGA-CH-5754-01",0.5377
"cg06148264","TCGA-CH-5761-01",0.5926
"cg06148264","TCGA-CH-5762-01",0.5104
"cg06148264","TCGA-CH-5763-01",0.3405
"cg06148264","TCGA-CH-5764-01",0.5715
"cg06148264","TCGA-CH-5765-01",0.7014
"cg06148264","TCGA-CH-5766-01",0.5419
"cg06148264","TCGA-CH-5767-01",0.7934
"cg06148264","TCGA-CH-5768-01",0.6355
"cg06148264","TCGA-CH-5769-01",0.5995
"cg06148264","TCGA-CH-5771-01",0.4912
"cg06148264","TCGA-CH-5772-01",0.6822
"cg06148264","TCGA-CH-5788-01",0.7205
"cg06148264","TCGA-CH-5789-01",0.3731
"cg06148264","TCGA-CH-5790-01",0.7126
"cg06148264","TCGA-CH-5791-01",0.6172
"cg06148264","TCGA-CH-5792-01",0.4968
"cg06148264","TCGA-CH-5794-01",0.6007
"cg06148264","TCGA-EJ-5494-01",0.6798
"cg06148264","TCGA-EJ-5495-01",0.4626
"cg06148264","TCGA-EJ-5496-01",0.5858
"cg06148264","TCGA-EJ-5497-01",0.5483
"cg06148264","TCGA-EJ-5498-01",0.3667
"cg06148264","TCGA-EJ-5499-01",0.533
"cg06148264","TCGA-EJ-5501-01",0.4852
"cg06148264","TCGA-EJ-5502-01",0.5129
"cg06148264","TCGA-EJ-5503-01",0.3247
"cg06148264","TCGA-EJ-5504-01",0.6162
"cg06148264","TCGA-EJ-5505-01",0.5406
"cg06148264","TCGA-EJ-5506-01",0.4581
"cg06148264","TCGA-EJ-5507-01",0.5965
"cg06148264","TCGA-EJ-5508-01",0.5042
"cg06148264","TCGA-EJ-5509-01",0.5199
"cg06148264","TCGA-EJ-5510-01",0.4656
"cg06148264","TCGA-EJ-5511-01",0.7012
"cg06148264","TCGA-EJ-5512-01",0.5396
"cg06148264","TCGA-EJ-5514-01",0.5642
"cg06148264","TCGA-EJ-5515-01",0.3614
"cg06148264","TCGA-EJ-5516-01",0.4444
"cg06148264","TCGA-EJ-5517-01",0.5957
"cg06148264","TCGA-EJ-5518-01",0.5146
"cg06148264","TCGA-EJ-5519-01",0.6726
"cg06148264","TCGA-EJ-5521-01",0.5711
"cg06148264","TCGA-EJ-5522-01",0.4741
"cg06148264","TCGA-EJ-5524-01",0.5338
"cg06148264","TCGA-EJ-5525-01",0.7498
"cg06148264","TCGA-EJ-5526-01",0.5775
"cg06148264","TCGA-EJ-5527-01",0.5144
"cg06148264","TCGA-EJ-5530-01",0.6896
"cg06148264","TCGA-EJ-5531-01",0.4415
"cg06148264","TCGA-EJ-5532-01",0.595
"cg06148264","TCGA-EJ-5542-01",0.5647
"cg06148264","TCGA-EJ-7115-01",0.6318
"cg06148264","TCGA-EJ-7123-01",0.6842
"cg06148264","TCGA-EJ-7125-01",0.6733
"cg06148264","TCGA-EJ-7218-01",0.6286
"cg06148264","TCGA-EJ-7312-01",0.7212
"cg06148264","TCGA-EJ-7314-01",0.6269
"cg06148264","TCGA-EJ-7315-01",0.5832
"cg06148264","TCGA-EJ-7317-01",0.6971
"cg06148264","TCGA-EJ-7318-01",0.6058
"cg06148264","TCGA-EJ-7321-01",0.6302
"cg06148264","TCGA-EJ-7325-01",0.7385
"cg06148264","TCGA-EJ-7327-01",0.5997
"cg06148264","TCGA-EJ-7328-01",0.5026
"cg06148264","TCGA-EJ-7330-01",0.4536
"cg06148264","TCGA-EJ-7331-01",0.5432
"cg06148264","TCGA-EJ-7781-01",0.5463
"cg06148264","TCGA-EJ-7782-01",0.657
"cg06148264","TCGA-EJ-7783-01",0.4966
"cg06148264","TCGA-EJ-7784-01",0.7581
"cg06148264","TCGA-EJ-7785-01",0.4474
"cg06148264","TCGA-EJ-7786-01",0.5725
"cg06148264","TCGA-EJ-7788-01",0.6338
"cg06148264","TCGA-EJ-7789-01",0.8611
"cg06148264","TCGA-EJ-7791-01",0.4306
"cg06148264","TCGA-EJ-7792-01",0.4893
"cg06148264","TCGA-EJ-7793-01",0.5738
"cg06148264","TCGA-EJ-7794-01",0.4762
"cg06148264","TCGA-EJ-7797-01",0.4596
"cg06148264","TCGA-EJ-8468-01",0.5957
"cg06148264","TCGA-EJ-8469-01",0.7288
"cg06148264","TCGA-EJ-8470-01",0.5557
"cg06148264","TCGA-EJ-8472-01",0.7014
"cg06148264","TCGA-EJ-8474-01",0.6801
"cg06148264","TCGA-EJ-A46B-01",0.5094
"cg06148264","TCGA-EJ-A46D-01",0.4404
"cg06148264","TCGA-EJ-A46E-01",0.4321
"cg06148264","TCGA-EJ-A46F-01",0.8576
"cg06148264","TCGA-EJ-A46G-01",0.6584
"cg06148264","TCGA-EJ-A46H-01",0.1481
"cg06148264","TCGA-EJ-A46I-01",0.5204
"cg06148264","TCGA-EJ-A65B-01",0.4398
"cg06148264","TCGA-EJ-A65D-01",0.8849
"cg06148264","TCGA-EJ-A65E-01",0.5241
"cg06148264","TCGA-EJ-A65F-01",0.6306
"cg06148264","TCGA-EJ-A65G-01",0.7745
"cg06148264","TCGA-EJ-A65J-01",0.6195
"cg06148264","TCGA-EJ-A65M-01",0.5878
"cg06148264","TCGA-EJ-A6RA-01",0.5102
"cg06148264","TCGA-EJ-A6RC-01",0.5404
"cg06148264","TCGA-EJ-A7NF-01",0.711
"cg06148264","TCGA-EJ-A7NG-01",0.41
"cg06148264","TCGA-EJ-A7NH-01",0.501
"cg06148264","TCGA-EJ-A7NJ-01",0.4274
"cg06148264","TCGA-EJ-A7NK-01",0.3748
"cg06148264","TCGA-EJ-A7NM-01",0.5467
"cg06148264","TCGA-EJ-A7NN-01",0.2831
"cg06148264","TCGA-EJ-A8FN-01",0.6365
"cg06148264","TCGA-EJ-A8FO-01",0.476
"cg06148264","TCGA-EJ-A8FP-01",0.3551
"cg06148264","TCGA-EJ-A8FS-01",0.7396
"cg06148264","TCGA-EJ-A8FU-01",0.3942
"cg06148264","TCGA-EJ-AB20-01",0.4248
"cg06148264","TCGA-EJ-AB27-01",0.4348
"cg06148264","TCGA-FC-7708-01",0.4807
"cg06148264","TCGA-FC-7961-01",0.5214
"cg06148264","TCGA-FC-A4JI-01",0.1775
"cg06148264","TCGA-FC-A5OB-01",0.7432
"cg06148264","TCGA-FC-A66V-01",0.2616
"cg06148264","TCGA-FC-A6HD-01",0.7714
"cg06148264","TCGA-FC-A8O0-01",0.3221
"cg06148264","TCGA-G9-6329-01",0.4404
"cg06148264","TCGA-G9-6332-01",0.7452
"cg06148264","TCGA-G9-6333-01",0.532
"cg06148264","TCGA-G9-6336-01",0.5446
"cg06148264","TCGA-G9-6338-01",0.7353
"cg06148264","TCGA-G9-6339-01",0.5395
"cg06148264","TCGA-G9-6342-01",0.5829
"cg06148264","TCGA-G9-6343-01",0.6557
"cg06148264","TCGA-G9-6347-01",0.415
"cg06148264","TCGA-G9-6348-01",0.5427
"cg06148264","TCGA-G9-6351-01",0.5237
"cg06148264","TCGA-G9-6353-01",0.5002
"cg06148264","TCGA-G9-6354-01",0.551
"cg06148264","TCGA-G9-6356-01",0.5053
"cg06148264","TCGA-G9-6361-01",0.6586
"cg06148264","TCGA-G9-6362-01",0.7419
"cg06148264","TCGA-G9-6363-01",0.5248
"cg06148264","TCGA-G9-6364-01",0.5382
"cg06148264","TCGA-G9-6365-01",0.5174
"cg06148264","TCGA-G9-6366-01",0.6104
"cg06148264","TCGA-G9-6367-01",0.3243
"cg06148264","TCGA-G9-6369-01",0.7866
"cg06148264","TCGA-G9-6370-01",0.4054
"cg06148264","TCGA-G9-6371-01",0.6216
"cg06148264","TCGA-G9-6373-01",0.5411
"cg06148264","TCGA-G9-6377-01",0.6227
"cg06148264","TCGA-G9-6378-01",0.4201
"cg06148264","TCGA-G9-6379-01",0.501
"cg06148264","TCGA-G9-6384-01",0.5263
"cg06148264","TCGA-G9-6385-01",0.5218
"cg06148264","TCGA-G9-6494-01",0.504
"cg06148264","TCGA-G9-6496-01",0.7623
"cg06148264","TCGA-G9-6498-01",0.603
"cg06148264","TCGA-G9-6499-01",0.511
"cg06148264","TCGA-G9-7509-01",0.6322
"cg06148264","TCGA-G9-7510-01",0.4975
"cg06148264","TCGA-G9-7519-01",0.5255
"cg06148264","TCGA-G9-7521-01",0.5287
"cg06148264","TCGA-G9-7522-01",0.4618
"cg06148264","TCGA-G9-7523-01",0.4787
"cg06148264","TCGA-G9-7525-01",0.6902
"cg06148264","TCGA-G9-A9S0-01",0.4987
"cg06148264","TCGA-G9-A9S4-01",0.7757
"cg06148264","TCGA-G9-A9S7-01",0.5786
"cg06148264","TCGA-H9-7775-01",0.7134
"cg06148264","TCGA-H9-A6BX-01",0.2988
"cg06148264","TCGA-H9-A6BY-01",0.6558
"cg06148264","TCGA-HC-7075-01",0.7493
"cg06148264","TCGA-HC-7077-01",0.8435
"cg06148264","TCGA-HC-7078-01",0.6888
"cg06148264","TCGA-HC-7079-01",0.372
"cg06148264","TCGA-HC-7080-01",0.822
"cg06148264","TCGA-HC-7081-01",0.5819
"cg06148264","TCGA-HC-7209-01",0.6143
"cg06148264","TCGA-HC-7210-01",0.5264
"cg06148264","TCGA-HC-7211-01",0.6417
"cg06148264","TCGA-HC-7212-01",0.7019
"cg06148264","TCGA-HC-7213-01",0.7148
"cg06148264","TCGA-HC-7230-01",0.7914
"cg06148264","TCGA-HC-7231-01",0.6628
"cg06148264","TCGA-HC-7232-01",0.5989
"cg06148264","TCGA-HC-7233-01",0.5639
"cg06148264","TCGA-HC-7736-01",0.5728
"cg06148264","TCGA-HC-7737-01",0.4814
"cg06148264","TCGA-HC-7738-01",0.6543
"cg06148264","TCGA-HC-7740-01",0.34725
"cg06148264","TCGA-HC-7742-01",0.5421
"cg06148264","TCGA-HC-7744-01",0.7231
"cg06148264","TCGA-HC-7745-01",0.4897
"cg06148264","TCGA-HC-7747-01",0.5046
"cg06148264","TCGA-HC-7748-01",0.5246
"cg06148264","TCGA-HC-7749-01",0.6358
"cg06148264","TCGA-HC-7750-01",0.5609
"cg06148264","TCGA-HC-7752-01",0.8379
"cg06148264","TCGA-HC-7817-01",0.3364
"cg06148264","TCGA-HC-7818-01",0.5719
"cg06148264","TCGA-HC-7819-01",0.7298
"cg06148264","TCGA-HC-7820-01",0.5623
"cg06148264","TCGA-HC-7821-01",0.7349
"cg06148264","TCGA-HC-8213-01",0.7676
"cg06148264","TCGA-HC-8216-01",0.5623
"cg06148264","TCGA-HC-8256-01",0.6099
"cg06148264","TCGA-HC-8257-01",0.6339
"cg06148264","TCGA-HC-8258-01",0.41275
"cg06148264","TCGA-HC-8259-01",0.7263
"cg06148264","TCGA-HC-8260-01",0.445
"cg06148264","TCGA-HC-8261-01",0.5894
"cg06148264","TCGA-HC-8262-01",0.6464
"cg06148264","TCGA-HC-8264-01",0.6439
"cg06148264","TCGA-HC-8265-01",0.57475
"cg06148264","TCGA-HC-8266-01",0.4792
"cg06148264","TCGA-HC-A48F-01",0.7966
"cg06148264","TCGA-HC-A4ZV-01",0.6222
"cg06148264","TCGA-HC-A631-01",0.8162
"cg06148264","TCGA-HC-A632-01",0.4726
"cg06148264","TCGA-HC-A6AL-01",0.6114
"cg06148264","TCGA-HC-A6AN-01",0.63
"cg06148264","TCGA-HC-A6AO-01",0.6828
"cg06148264","TCGA-HC-A6AP-01",0.4143
"cg06148264","TCGA-HC-A6AQ-01",0.5989
"cg06148264","TCGA-HC-A6AS-01",0.5162
"cg06148264","TCGA-HC-A6HX-01",0.389
"cg06148264","TCGA-HC-A6HY-01",0.6516
"cg06148264","TCGA-HC-A76W-01",0.5824
"cg06148264","TCGA-HC-A76X-01",0.774
"cg06148264","TCGA-HC-A8CY-01",0.7149
"cg06148264","TCGA-HC-A8D0-01",0.4784
"cg06148264","TCGA-HC-A8D1-01",0.4238
"cg06148264","TCGA-HC-A9TE-01",0.5449
"cg06148264","TCGA-HC-A9TH-01",0.497
"cg06148264","TCGA-HI-7168-01",0.6217
"cg06148264","TCGA-HI-7169-01",0.5796
"cg06148264","TCGA-HI-7170-01",0.5015
"cg06148264","TCGA-HI-7171-01",0.7721
"cg06148264","TCGA-J4-8198-01",0.5939
"cg06148264","TCGA-J4-8200-01",0.5657
"cg06148264","TCGA-J4-A67K-01",0.5668
"cg06148264","TCGA-J4-A67L-01",0.5437
"cg06148264","TCGA-J4-A67M-01",0.4833
"cg06148264","TCGA-J4-A67N-01",0.6223
"cg06148264","TCGA-J4-A67O-01",0.4725
"cg06148264","TCGA-J4-A67Q-01",0.5286
"cg06148264","TCGA-J4-A67R-01",0.4492
"cg06148264","TCGA-J4-A67S-01",0.5454
"cg06148264","TCGA-J4-A67T-01",0.5882
"cg06148264","TCGA-J4-A6G1-01",0.3046
"cg06148264","TCGA-J4-A6G3-01",0.426
"cg06148264","TCGA-J4-A6M7-01",0.7189
"cg06148264","TCGA-J4-A83I-01",0.6684
"cg06148264","TCGA-J4-A83J-01",0.6909
"cg06148264","TCGA-J4-A83K-01",0.6039
"cg06148264","TCGA-J4-A83L-01",0.5854
"cg06148264","TCGA-J4-A83M-01",0.6492
"cg06148264","TCGA-J4-A83N-01",0.7112
"cg06148264","TCGA-J4-AATV-01",0.4574
"cg06148264","TCGA-J4-AATZ-01",0.653
"cg06148264","TCGA-J4-AAU2-01",0.7514
"cg06148264","TCGA-J9-A52B-01",0.6503
"cg06148264","TCGA-J9-A52C-01",0.4637
"cg06148264","TCGA-J9-A52D-01",0.8662
"cg06148264","TCGA-J9-A52E-01",0.562
"cg06148264","TCGA-J9-A8CK-01",0.4729
"cg06148264","TCGA-J9-A8CL-01",0.5567
"cg06148264","TCGA-J9-A8CM-01",0.5672
"cg06148264","TCGA-J9-A8CN-01",0.7721
"cg06148264","TCGA-J9-A8CP-01",0.6111
"cg06148264","TCGA-KC-A4BL-01",0.3684
"cg06148264","TCGA-KC-A4BN-01",0.5889
"cg06148264","TCGA-KC-A4BO-01",0.2581
"cg06148264","TCGA-KC-A4BR-01",0.3165
"cg06148264","TCGA-KC-A4BV-01",0.624
"cg06148264","TCGA-KC-A7F3-01",0.5367
"cg06148264","TCGA-KC-A7F5-01",0.8241
"cg06148264","TCGA-KC-A7F6-01",0.6234
"cg06148264","TCGA-KC-A7FA-01",0.6325
"cg06148264","TCGA-KC-A7FD-01",0.7119
"cg06148264","TCGA-KC-A7FE-01",0.3863
"cg06148264","TCGA-KK-A59V-01",0.5438
"cg06148264","TCGA-KK-A59X-01",0.7742
"cg06148264","TCGA-KK-A59Y-01",0.7418
"cg06148264","TCGA-KK-A59Z-01",0.7426
"cg06148264","TCGA-KK-A5A1-01",0.8436
"cg06148264","TCGA-KK-A6DY-01",0.5655
"cg06148264","TCGA-KK-A6E0-01",0.6752
"cg06148264","TCGA-KK-A6E1-01",0.7233
"cg06148264","TCGA-KK-A6E2-01",0.786
"cg06148264","TCGA-KK-A6E3-01",0.5308
"cg06148264","TCGA-KK-A6E4-01",0.6917
"cg06148264","TCGA-KK-A6E5-01",0.6318
"cg06148264","TCGA-KK-A6E6-01",0.6039
"cg06148264","TCGA-KK-A6E7-01",0.6906
"cg06148264","TCGA-KK-A6E8-01",0.7371
"cg06148264","TCGA-KK-A7AP-01",0.8286
"cg06148264","TCGA-KK-A7AQ-01",0.722
"cg06148264","TCGA-KK-A7AU-01",0.792
"cg06148264","TCGA-KK-A7AV-01",0.5175
"cg06148264","TCGA-KK-A7AW-01",0.6636
"cg06148264","TCGA-KK-A7AY-01",0.6242
"cg06148264","TCGA-KK-A7AZ-01",0.5505
"cg06148264","TCGA-KK-A7B0-01",0.4182
"cg06148264","TCGA-KK-A7B1-01",0.5539
"cg06148264","TCGA-KK-A7B2-01",0.4774
"cg06148264","TCGA-KK-A7B3-01",0.6034
"cg06148264","TCGA-KK-A7B4-01",0.6205
"cg06148264","TCGA-KK-A8I4-01",0.4555
"cg06148264","TCGA-KK-A8I5-01",0.7369
"cg06148264","TCGA-KK-A8I6-01",0.5748
"cg06148264","TCGA-KK-A8I7-01",0.4258
"cg06148264","TCGA-KK-A8I8-01",0.6328
"cg06148264","TCGA-KK-A8I9-01",0.5752
"cg06148264","TCGA-KK-A8IA-01",0.7455
"cg06148264","TCGA-KK-A8IB-01",0.4348
"cg06148264","TCGA-KK-A8IC-01",0.4115
"cg06148264","TCGA-KK-A8ID-01",0.7814
"cg06148264","TCGA-KK-A8IF-01",0.8659
"cg06148264","TCGA-KK-A8IG-01",0.5962
"cg06148264","TCGA-KK-A8IH-01",0.6948
"cg06148264","TCGA-KK-A8II-01",0.8354
"cg06148264","TCGA-KK-A8IJ-01",0.5294
"cg06148264","TCGA-KK-A8IK-01",0.2848
"cg06148264","TCGA-KK-A8IL-01",0.6473
"cg06148264","TCGA-KK-A8IM-01",0.4743
"cg06148264","TCGA-M7-A71Y-01",0.3573
"cg06148264","TCGA-M7-A71Z-01",0.8012
"cg06148264","TCGA-M7-A720-01",0.4147
"cg06148264","TCGA-M7-A721-01",0.5535
"cg06148264","TCGA-M7-A722-01",0.7471
"cg06148264","TCGA-M7-A723-01",0.5205
"cg06148264","TCGA-M7-A724-01",0.8681
"cg06148264","TCGA-M7-A725-01",0.529
"cg06148264","TCGA-MG-AAMC-01",0.729
"cg06148264","TCGA-QU-A6IL-01",0.7014
"cg06148264","TCGA-QU-A6IM-01",0.5768
"cg06148264","TCGA-QU-A6IN-01",0.7854
"cg06148264","TCGA-QU-A6IO-01",0.6508
"cg06148264","TCGA-QU-A6IP-01",0.5332
"cg06148264","TCGA-SU-A7E7-01",0.4702
"cg06148264","TCGA-TK-A8OK-01",0.5559
"cg06148264","TCGA-TP-A8TT-01",0.4697
"cg06148264","TCGA-TP-A8TV-01",0.8133
"cg06148264","TCGA-V1-A8MF-01",0.4623
"cg06148264","TCGA-V1-A8MG-01",0.6105
"cg06148264","TCGA-V1-A8MJ-01",0.4429
"cg06148264","TCGA-V1-A8MK-01",0.5212
"cg06148264","TCGA-V1-A8ML-01",0.6058
"cg06148264","TCGA-V1-A8MM-01",0.7076
"cg06148264","TCGA-V1-A8MU-01",0.5322
"cg06148264","TCGA-V1-A8WL-01",0.6206
"cg06148264","TCGA-V1-A8WN-01",0.5534
"cg06148264","TCGA-V1-A8WS-01",0.6602
"cg06148264","TCGA-V1-A8WV-01",0.2351
"cg06148264","TCGA-V1-A8WW-01",0.7489
"cg06148264","TCGA-V1-A8X3-01",0.6142
"cg06148264","TCGA-V1-A9O5-01",0.1872
"cg06148264","TCGA-V1-A9O7-01",0.4114
"cg06148264","TCGA-V1-A9O9-01",0.4628
"cg06148264","TCGA-V1-A9OA-01",0.5294
"cg06148264","TCGA-V1-A9OF-01",0.7927
"cg06148264","TCGA-V1-A9OH-01",0.4295
"cg06148264","TCGA-V1-A9OL-01",0.6022
"cg06148264","TCGA-V1-A9OQ-01",0.6751
"cg06148264","TCGA-V1-A9OT-01",0.7033
"cg06148264","TCGA-V1-A9OX-01",0.5156
"cg06148264","TCGA-V1-A9OY-01",0.4848
"cg06148264","TCGA-V1-A9Z7-01",0.4675
"cg06148264","TCGA-V1-A9Z8-01",0.5317
"cg06148264","TCGA-V1-A9Z9-01",0.5702
"cg06148264","TCGA-V1-A9ZG-01",0.3755
"cg06148264","TCGA-V1-A9ZI-01",0.5668
"cg06148264","TCGA-V1-A9ZK-01",0.5063
"cg06148264","TCGA-V1-A9ZR-01",0.4496
"cg06148264","TCGA-VN-A88I-01",0.3136
"cg06148264","TCGA-VN-A88K-01",0.711
"cg06148264","TCGA-VN-A88L-01",0.5859
"cg06148264","TCGA-VN-A88M-01",0.6962
"cg06148264","TCGA-VN-A88N-01",0.6056
"cg06148264","TCGA-VN-A88O-01",0.6645
"cg06148264","TCGA-VN-A88P-01",0.7152
"cg06148264","TCGA-VN-A88Q-01",0.6067
"cg06148264","TCGA-VN-A88R-01",0.7005
"cg06148264","TCGA-VN-A943-01",0.7184
"cg06148264","TCGA-VP-A872-01",0.5151
"cg06148264","TCGA-VP-A875-01",0.9114
"cg06148264","TCGA-VP-A876-01",0.8012
"cg06148264","TCGA-VP-A878-01",0.5021
"cg06148264","TCGA-VP-A879-01",0.5202
"cg06148264","TCGA-VP-A87B-01",0.8022
"cg06148264","TCGA-VP-A87C-01",0.3255
"cg06148264","TCGA-VP-A87D-01",0.6417
"cg06148264","TCGA-VP-A87E-01",0.5349
"cg06148264","TCGA-VP-A87H-01",0.5707
"cg06148264","TCGA-VP-A87J-01",0.71
"cg06148264","TCGA-VP-A87K-01",0.7535
"cg06148264","TCGA-VP-AA1N-01",0.4616
"cg06148264","TCGA-WW-A8ZI-01",0.8455
"cg06148264","TCGA-X4-A8KQ-01",0.5836
"cg06148264","TCGA-X4-A8KS-01",0.4293
"cg06148264","TCGA-XA-A8JR-01",0.5367
"cg06148264","TCGA-XJ-A83F-01",0.7329
"cg06148264","TCGA-XJ-A83G-01",0.7034
"cg06148264","TCGA-XJ-A83H-01",0.5996
"cg06148264","TCGA-XJ-A9DI-01",0.4344
"cg06148264","TCGA-XJ-A9DK-01",0.3546
"cg06148264","TCGA-XJ-A9DQ-01",0.4469
"cg06148264","TCGA-XJ-A9DX-01",0.737
"cg06148264","TCGA-XK-AAIR-01",0.412
"cg06148264","TCGA-XK-AAIV-01",0.2837
"cg06148264","TCGA-XK-AAIW-01",0.591
"cg06148264","TCGA-XK-AAJ3-01",0.714
"cg06148264","TCGA-XK-AAJA-01",0.609
"cg06148264","TCGA-XK-AAJP-01",0.7489
"cg06148264","TCGA-XK-AAJR-01",0.4973
"cg06148264","TCGA-XK-AAJT-01",0.5885
"cg06148264","TCGA-XK-AAJU-01",0.2638
"cg06148264","TCGA-XK-AAK1-01",0.6675
"cg06148264","TCGA-XQ-A8TA-01",0.813
"cg06148264","TCGA-XQ-A8TB-01",0.5581
"cg06148264","TCGA-Y6-A8TL-01",0.6173
"cg06148264","TCGA-Y6-A9XI-01",0.5891
"cg06148264","TCGA-YJ-A8SW-01",0.7733
"cg06148264","TCGA-YL-A8HJ-01",0.4202
"cg06148264","TCGA-YL-A8HK-01",0.4502
"cg06148264","TCGA-YL-A8HL-01",0.673
"cg06148264","TCGA-YL-A8HM-01",0.7048
"cg06148264","TCGA-YL-A8HO-01",0.5351
"cg06148264","TCGA-YL-A8S8-01",0.615
"cg06148264","TCGA-YL-A8S9-01",0.8602
"cg06148264","TCGA-YL-A8SA-01",0.7529
"cg06148264","TCGA-YL-A8SB-01",0.6339
"cg06148264","TCGA-YL-A8SC-01",0.5744
"cg06148264","TCGA-YL-A8SF-01",0.6355
"cg06148264","TCGA-YL-A8SH-01",0.6285
"cg06148264","TCGA-YL-A8SI-01",0.4523
"cg06148264","TCGA-YL-A8SJ-01",0.5832
"cg06148264","TCGA-YL-A8SK-01",0.4583
"cg06148264","TCGA-YL-A8SL-01",0.7703
"cg06148264","TCGA-YL-A8SO-01",0.5931
"cg06148264","TCGA-YL-A8SP-01",0.7821
"cg06148264","TCGA-YL-A8SQ-01",0.7127
"cg06148264","TCGA-YL-A8SR-01",0.6287
"cg06148264","TCGA-YL-A9WH-01",0.6966
"cg06148264","TCGA-YL-A9WI-01",0.8081
"cg06148264","TCGA-YL-A9WJ-01",0.4869
"cg06148264","TCGA-YL-A9WK-01",0.4845
"cg06148264","TCGA-YL-A9WL-01",0.8527
"cg06148264","TCGA-YL-A9WX-01",0.3723
"cg06148264","TCGA-YL-A9WY-01",0.4544
"cg06148264","TCGA-ZG-A8QW-01",0.4903
"cg06148264","TCGA-ZG-A8QX-01",0.4895
"cg06148264","TCGA-ZG-A8QY-01",0.6174
"cg06148264","TCGA-ZG-A8QZ-01",0.4534
"cg06148264","TCGA-ZG-A9KY-01",0.5952
"cg06148264","TCGA-ZG-A9L0-01",0.6027
"cg06148264","TCGA-ZG-A9L1-01",0.7005
"cg06148264","TCGA-ZG-A9L2-01",0.3791
"cg06148264","TCGA-ZG-A9L4-01",0.4416
"cg06148264","TCGA-ZG-A9L5-01",0.6984
"cg06148264","TCGA-ZG-A9L6-01",0.5329
"cg06148264","TCGA-ZG-A9L9-01",0.4924
"cg06148264","TCGA-ZG-A9LB-01",0.5423
"cg06148264","TCGA-ZG-A9LM-01",0.6856
"cg06148264","TCGA-ZG-A9LN-01",0.3405
"cg06148264","TCGA-ZG-A9LS-01",0.4371
"cg06148264","TCGA-ZG-A9LU-01",0.336
"cg06148264","TCGA-ZG-A9LY-01",0.3998
"cg06148264","TCGA-ZG-A9LZ-01",0.6491
"cg06148264","TCGA-ZG-A9M4-01",0.5715
"cg06148264","TCGA-ZG-A9MC-01",0.3231
"cg06148264","TCGA-ZG-A9N3-01",0.4138
"cg06148264","TCGA-ZG-A9ND-01",0.7203
"cg06148264","TCGA-ZG-A9NI-01",0.5921
"cg07635623","TCGA-2A-A8VL-01",0.4216
"cg07635623","TCGA-2A-A8VO-01",0.7344
"cg07635623","TCGA-2A-A8VT-01",0.5853
"cg07635623","TCGA-2A-A8VV-01",0.7082
